Crop,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
Cotton,Kharif,Rajapalayam,34066,887.6,4272490,6602,2.13
Papaya,Whole Year,Attur,906,919.5,379722,1368,26.67
Cotton,Kharif,Sivakasi,33763,589.7,1963182,14749,0.8
Millet,Kharif,Kodaikanal,8811,706.3,1089990,3559,1.21
Pigeonpea,Kharif,Namakkal,3863,622.8,319819,559,0.71
Rice,Kharif,Rajapalayam,3024,879.2,2483945,8097,1.44
Millet,Kharif,Sivakasi,18553,784.8,1947874,3004,0.88
Sorghum,Rabi,Namakkal,21909,868.0,804301,5904,1.17
Chickpea,Rabi,Palani,15931,1019.8,542537,694,1.04
Sorghum,Rabi,Madurai,3664,750.7,475577,1719,1.17
Papaya,Whole Year,Dindigul,4131,1246.8,1571947,947,43.15
Sugarcane,Whole Year,Attur,79067,934.1,7752039,10911,61.76
Coconut,Whole Year,Theni,9004,1386.7,1240374,4325,7.62
Banana,Whole Year,Kodaikanal,14262,1413.2,3825219,11417,16.21
Chickpea,Rabi,Rajapalayam,14558,919.7,1331948,2416,0.64
Rice,Kharif,Salem,33258,1182.3,5259789,10415,1.08
Papaya,Whole Year,Sivakasi,3802,963.1,1051289,1895,37.09
Greengram,Kharif,Dindigul,8227,637.9,704403,408,0.61
Greengram,Kharif,Kodaikanal,5602,729.3,751830,2612,0.64
Pomegranate,Whole Year,Theni,4022,944.5,1250217,1743,9.88
Papaya,Whole Year,Kodaikanal,7978,1191.4,1233883,7199,35.01
Rice,Rabi,Palani,2911,1694.6,2589965,6065,1.1
Mango,Whole Year,Theni,33583,1091.0,2320117,9362,8.48
Pomegranate,Whole Year,Rajapalayam,772,440.6,622068,2364,5.91
Coffee,Whole Year,Rajapalayam,1293,1344.3,672370,1448,1.36
Rice,Rabi,Theni,36591,1489.3,5504943,6642,1.0
Sugarcane,Whole Year,Karur,16696,1416.7,4775726,19508,66.59
Coffee,Whole Year,Sivakasi,125,1285.5,43218,370,0.89
Sorghum,Rabi,Dindigul,710,441.6,531393,1006,1.14
Papaya,Whole Year,Theni,3153,1233.3,1139795,4138,28.86
Pomegranate,Whole Year,Sivakasi,195,630.9,153453,1928,6.12
Sorghum,Rabi,Rajapalayam,16986,722.6,1338904,909,0.84
Pigeonpea,Kharif,Kodaikanal,4782,1265.3,383125,1451,1.03
Coffee,Whole Year,Namakkal,1158,1511.5,641439,1188,0.81
Coffee,Whole Year,Sivakasi,702,1263.3,629595,2350,0.63
Coffee,Whole Year,Attur,1881,1349.3,585778,1107,1.13
Sesame,Kharif,Madurai,2471,441.6,276095,943,0.32
Coconut,Whole Year,Madurai,19454,1142.0,874465,5664,7.46
Pigeonpea,Kharif,Madurai,8750,821.1,810332,2736,0.55
Mango,Whole Year,Attur,7783,996.2,1025441,7186,7.12
Tapioca,Whole Year,Karur,25562,723.1,1880450,4208,19.44
Sesame,Kharif,Attur,2140,665.1,344023,100,0.67
Pigeonpea,Kharif,Attur,11461,838.1,1239070,3576,0.81
Chilli,Rabi,Dindigul,6793,920.3,2414288,6000,3.06
Cotton,Kharif,Dindigul,10825,601.4,980564,9416,1.74
Sesame,Kharif,Karur,8467,537.1,616965,258,0.28
Coffee,Whole Year,Namakkal,3554,1460.5,427248,4276,1.21
Groundnut,Kharif,Virudhunagar,4803,518.7,2434507,5818,1.13
Sorghum,Rabi,Rajapalayam,3128,597.0,294418,581,0.55
Chickpea,Rabi,Kodaikanal,14684,725.9,1449440,1053,1.3
Coffee,Whole Year,Namakkal,2083,1035.8,1027735,2854,0.45
Rice,Rabi,Namakkal,7140,1200.3,1597299,3276,0.89
Millet,Kharif,Kodaikanal,4912,952.6,437100,761,0.93
Maize,Kharif,Dindigul,12703,894.6,1388380,884,3.22
Maize,Rabi,Namakkal,48663,1055.4,4179770,12204,3.83
Sorghum,Rabi,Karur,2515,714.8,589673,1668,1.12
Rice,Rabi,Madurai,21827,1179.1,3870952,9467,1.75
Coconut,Whole Year,Kodaikanal,46147,1459.7,2176968,10152,6.54
Chickpea,Rabi,Sivakasi,14625,712.0,691544,1920,1.1
Coconut,Whole Year,Dindigul,11318,788.6,2057445,2287,7.59
Coffee,Whole Year,Dindigul,4601,970.2,1720979,2040,1.51
Millet,Kharif,Madurai,8057,667.3,926544,2329,1.3
Groundnut,Rabi,Dindigul,8490,797.3,1635716,3958,0.95
Banana,Whole Year,Salem,31305,1279.5,1500578,8165,13.42
Maize,Kharif,Karur,41283,831.9,2368207,4425,1.73
Papaya,Whole Year,Palani,1518,1451.0,286322,606,19.15
Sorghum,Kharif,Virudhunagar,14712,769.8,1685717,3449,1.2
Millet,Kharif,Attur,3254,870.4,489509,728,1.36
Pomegranate,Whole Year,Kodaikanal,4790,737.6,319105,2700,7.05
Sesame,Kharif,Rajapalayam,7691,622.4,356334,2658,0.43
Rice,Rabi,Palani,50645,1459.5,1740269,17092,1.53
Pomegranate,Whole Year,Virudhunagar,120,497.6,324944,1651,3.85
Banana,Whole Year,Salem,43902,962.8,2286558,22597,15.22
Greengram,Kharif,Karur,13332,602.4,714689,1717,0.62
Coconut,Whole Year,Attur,38308,849.2,2745985,6670,5.78
Papaya,Whole Year,Namakkal,2760,837.0,908804,1668,32.02
Greengram,Kharif,Namakkal,10352,591.0,758862,620,0.75
Pigeonpea,Kharif,Palani,9418,774.6,711962,2234,0.34
Turmeric,Kharif,Sivakasi,11003,856.1,1379700,8564,4.27
Tapioca,Whole Year,Attur,14127,548.1,855406,2349,17.45
Banana,Whole Year,Virudhunagar,46746,1196.7,6179880,23489,25.87
Coconut,Whole Year,Theni,52528,1356.9,3086021,7307,9.35
Pomegranate,Whole Year,Theni,2887,751.9,370859,1297,3.72
Banana,Whole Year,Theni,6789,1522.5,2984795,3639,21.56
Sugarcane,Whole Year,Karur,43476,1181.7,6195697,18329,56.88
Sorghum,Rabi,Karur,12887,709.1,837096,3423,1.37
Chilli,Kharif,Palani,11650,960.7,1720193,5924,0.93
Mango,Whole Year,Namakkal,6821,841.1,1629076,2706,4.43
Groundnut,Kharif,Rajapalayam,33879,895.4,3217320,8649,1.91
Coffee,Whole Year,Palani,3217,1869.9,520815,1442,0.7
Chickpea,Rabi,Salem,9737,604.3,513290,2681,0.82
Pigeonpea,Kharif,Dindigul,7800,662.2,523470,884,0.36
Sesame,Kharif,Dindigul,9814,666.4,799564,2240,0.53
Groundnut,Rabi,Sivakasi,39741,563.3,4371850,6426,1.0
Coconut,Whole Year,Palani,3908,1122.6,985470,4847,4.47
Millet,Kharif,Attur,28499,710.6,1340103,5498,0.74
Pomegranate,Whole Year,Namakkal,3437,414.6,817792,3453,9.7
Chickpea,Rabi,Rajapalayam,17178,526.4,1498302,2947,0.68
Banana,Whole Year,Salem,33073,1293.2,2921781,9388,27.6
Greengram,Kharif,Theni,10402,857.0,1032215,2631,0.38
Turmeric,Kharif,Attur,14785,1146.7,3811525,5805,6.29
Tapioca,Whole Year,Palani,29159,1186.4,1889727,4147,19.76
Tapioca,Whole Year,Salem,24769,845.7,1144006,7175,25.7
Coffee,Whole Year,Virudhunagar,4437,1510.3,590522,5679,1.13
Papaya,Whole Year,Namakkal,197,1183.0,396848,1193,34.89
Papaya,Whole Year,Salem,5746,822.3,1589995,6459,20.75
Pigeonpea,Kharif,Karur,8392,647.0,709716,863,0.48
Coffee,Whole Year,Karur,4432,919.7,658009,4419,1.33
Coconut,Whole Year,Madurai,42610,1072.6,3434416,6107,7.0
Pigeonpea,Kharif,Rajapalayam,7168,785.0,576939,2598,0.36
Papaya,Whole Year,Karur,4441,947.5,897717,1146,28.32
Coconut,Whole Year,Kodaikanal,18207,873.4,2720209,3041,6.03
Mango,Whole Year,Virudhunagar,28045,577.8,3035875,5847,6.97
Pigeonpea,Kharif,Kodaikanal,5950,1167.7,219693,1286,0.8
Sesame,Kharif,Rajapalayam,4710,701.7,569023,2210,0.68
Cotton,Kharif,Madurai,16714,767.7,981559,9710,1.2
Millet,Kharif,Karur,6914,821.9,940407,2824,1.51
Banana,Whole Year,Virudhunagar,12631,1327.7,3604487,4614,13.95
Millet,Kharif,Kodaikanal,24018,964.3,950228,6280,0.81
Banana,Whole Year,Dindigul,17886,912.2,3999460,8418,30.43
Turmeric,Kharif,Namakkal,5114,812.9,575732,2604,3.02
Sesame,Kharif,Attur,9959,498.8,725373,1837,0.54
Coconut,Whole Year,Attur,8620,910.9,1101566,1937,4.68
Pigeonpea,Kharif,Kodaikanal,8005,1153.1,152990,1732,0.71
Mango,Whole Year,Theni,7829,912.1,793858,6096,7.05
Banana,Whole Year,Palani,38135,1373.7,4607284,19373,29.89
Pigeonpea,Kharif,Madurai,8380,755.4,222149,941,0.53
Sorghum,Rabi,Salem,11259,469.6,406552,3599,0.84
Banana,Whole Year,Palani,47688,1433.0,5491103,21934,20.19
Banana,Whole Year,Theni,37660,1201.2,1853633,3894,19.16
Chilli,Rabi,Karur,5247,738.4,590866,3512,0.88
Greengram,Kharif,Attur,5898,577.3,222403,1470,0.32
Papaya,Whole Year,Namakkal,3314,1148.8,906168,3496,19.01
Sugarcane,Whole Year,Karur,60011,1258.7,5749594,24449,67.83
Blackgram,Rabi,Rajapalayam,17011,713.8,282304,1545,0.51
Chickpea,Rabi,Virudhunagar,8796,856.8,589093,1810,0.54
Turmeric,Kharif,Theni,6277,1152.5,2101732,1216,5.79
Mango,Whole Year,Dindigul,4126,865.3,1748878,4232,4.12
Coffee,Whole Year,Namakkal,3535,1532.6,672883,1835,1.59
Mango,Whole Year,Namakkal,33918,844.7,956889,3899,7.35
Mango,Whole Year,Theni,12500,906.5,2607828,7374,2.68
Millet,Kharif,Rajapalayam,2604,523.3,562645,1244,0.84
Blackgram,Rabi,Dindigul,16928,676.3,1454032,402,0.36
Rice,Kharif,Karur,7621,1371.5,2900918,8803,1.53
Maize,Rabi,Virudhunagar,26407,933.4,2674230,9498,1.97
Coconut,Whole Year,Salem,45038,1319.0,2929166,3951,9.57
Pigeonpea,Kharif,Dindigul,1549,956.9,484003,474,0.51
Rice,Kharif,Karur,56696,1128.9,5337174,9702,1.69
Groundnut,Kharif,Theni,53068,1116.3,4214655,13865,2.38
Sesame,Kharif,Theni,7243,763.1,766166,2218,0.8
Coffee,Whole Year,Theni,3620,1574.0,1102558,1221,0.82
Millet,Kharif,Dindigul,29831,696.0,2738035,2353,1.6
Mango,Whole Year,Theni,5281,1040.2,459660,1801,6.09
Pomegranate,Whole Year,Virudhunagar,1656,499.9,561614,2053,6.07
Turmeric,Kharif,Dindigul,6985,927.8,1087710,3753,3.9
Banana,Whole Year,Palani,22251,1701.7,4699949,10226,36.18
Turmeric,Kharif,Palani,10605,1377.1,2221159,4323,4.43
Pigeonpea,Kharif,Theni,7599,1208.2,775575,100,0.78
Chickpea,Rabi,Sivakasi,8474,835.7,983219,3057,0.44
Tapioca,Whole Year,Sivakasi,21393,658.4,1699795,5784,26.31
Banana,Whole Year,Kodaikanal,535,1380.0,817572,7041,27.02
Greengram,Kharif,Kodaikanal,13752,933.1,722001,1979,0.52
Mango,Whole Year,Virudhunagar,20843,711.2,847421,7707,4.07
Pigeonpea,Kharif,Dindigul,1169,655.5,266327,2298,0.45
Banana,Whole Year,Sivakasi,21930,1289.1,4617017,9934,28.81
Chilli,Rabi,Sivakasi,10757,685.7,1023811,8547,1.31
Mango,Whole Year,Kodaikanal,29280,1192.3,3400048,11703,8.46
Rice,Kharif,Virudhunagar,49785,1140.7,5012214,15183,1.0
Greengram,Kharif,Madurai,6974,451.8,434970,849,0.33
Pigeonpea,Kharif,Dindigul,10785,637.7,957629,3133,0.67
Rice,Kharif,Virudhunagar,34953,976.4,5139006,9659,2.5
Turmeric,Kharif,Madurai,490,987.5,521764,952,3.35
Mango,Whole Year,Dindigul,15769,893.9,889874,3962,5.67
Greengram,Kharif,Attur,2285,510.2,345262,1840,0.54
Blackgram,Rabi,Karur,5018,593.0,304674,2024,0.44
Chilli,Rabi,Karur,6581,673.4,763007,4193,2.16
Coconut,Whole Year,Madurai,57768,1355.6,2630244,5937,10.88
Blackgram,Rabi,Namakkal,973,496.2,178760,468,0.32
Greengram,Kharif,Sivakasi,3593,804.0,732887,1554,0.58
Sorghum,Rabi,Dindigul,19318,438.1,1924835,3559,0.76
Mango,Whole Year,Madurai,5655,800.6,1973113,820,7.89
Rice,Kharif,Virudhunagar,30645,865.2,1384302,3525,2.54
Rice,Kharif,Madurai,25810,1193.3,4660831,6214,1.35
Pomegranate,Whole Year,Karur,1441,506.3,336159,1781,3.83
Mango,Whole Year,Virudhunagar,25737,735.2,2215331,5119,4.39
Turmeric,Kharif,Kodaikanal,8684,978.5,1056590,3218,5.05
Sorghum,Kharif,Kodaikanal,696,966.3,519709,1136,1.55
Coconut,Whole Year,Rajapalayam,21412,1059.6,3128612,2215,6.89
Papaya,Whole Year,Karur,5006,860.4,1096082,2878,19.24
Blackgram,Rabi,Madurai,18366,690.3,622493,3516,0.5
Sesame,Kharif,Attur,4826,593.0,264003,979,0.3
Pomegranate,Whole Year,Karur,4744,510.4,1071955,3408,9.6
Rice,Kharif,Dindigul,48160,1254.2,3361952,13310,1.92
Papaya,Whole Year,Dindigul,2783,1208.7,1043063,3611,23.95
Sorghum,Kharif,Salem,17441,493.8,955667,3355,1.29
Millet,Kharif,Karur,23360,697.0,2221288,3040,1.93
Greengram,Kharif,Kodaikanal,614,959.6,350649,803,0.43
Coffee,Whole Year,Palani,4465,1446.0,788552,385,1.64
Blackgram,Rabi,Madurai,8306,862.6,180680,432,0.45
Greengram,Kharif,Attur,14150,454.4,484178,930,0.32
Papaya,Whole Year,Salem,317,985.6,514966,1028,20.86
Coffee,Whole Year,Rajapalayam,1313,1426.3,731963,2637,0.99
Millet,Kharif,Theni,11374,1041.9,246456,2540,0.99
Chilli,Kharif,Rajapalayam,3726,852.1,1622452,5007,1.76
Tapioca,Whole Year,Namakkal,15440,1010.3,1193028,6470,18.44
Turmeric,Kharif,Karur,1700,1221.8,862376,1486,3.58
Turmeric,Kharif,Virudhunagar,14101,1246.2,2064719,8221,2.93
Turmeric,Kharif,Namakkal,571,1091.3,732035,2085,2.89
Maize,Kharif,Virudhunagar,14857,965.5,1637415,2740,2.08
Groundnut,Kharif,Namakkal,6218,754.5,1081794,1976,1.57
Mango,Whole Year,Virudhunagar,9120,1031.7,1065039,5124,7.03
Turmeric,Kharif,Theni,13685,1091.2,3141905,7632,4.74
Coffee,Whole Year,Attur,2102,993.0,779714,2446,1.11
Chilli,Rabi,Madurai,3981,939.5,625482,2873,2.15
Chickpea,Rabi,Salem,16730,810.2,567488,4497,0.79
Turmeric,Kharif,Attur,6748,909.0,1447734,3373,3.97
Pomegranate,Whole Year,Dindigul,4784,573.7,490283,4461,6.73
Coconut,Whole Year,Madurai,20553,1158.3,1768160,2133,6.98
Banana,Whole Year,Rajapalayam,24695,1229.2,4656796,6216,21.18
Maize,Rabi,Namakkal,20448,801.3,2702795,1872,1.9
Banana,Whole Year,Theni,19287,1457.2,2778199,6795,31.88
Sugarcane,Whole Year,Theni,51277,1184.1,5953518,6904,53.56
Papaya,Whole Year,Madurai,169,989.7,179641,156,35.39
Papaya,Whole Year,Namakkal,2873,1037.4,366993,2109,24.05
Mango,Whole Year,Namakkal,37658,829.1,3099693,10476,6.88
Coconut,Whole Year,Madurai,22166,922.2,3057143,4443,6.47
Millet,Kharif,Namakkal,8743,924.0,694308,1232,1.07
Banana,Whole Year,Sivakasi,23414,1145.7,2611881,6215,19.25
Sesame,Kharif,Dindigul,7199,721.2,764000,941,0.71
Pigeonpea,Kharif,Namakkal,784,789.5,457996,1096,0.61
Cotton,Kharif,Dindigul,38129,979.2,5471452,9031,2.07
Cotton,Kharif,Madurai,2502,509.5,1460575,4135,0.98
Blackgram,Rabi,Theni,12486,1101.4,468297,3190,0.94
Pigeonpea,Kharif,Palani,8403,817.0,343552,1065,0.5
Blackgram,Rabi,Rajapalayam,15707,816.1,423922,3287,0.7
Coconut,Whole Year,Attur,36022,1253.0,1280673,7778,9.14
Papaya,Whole Year,Dindigul,3134,994.5,691263,1097,26.88
Mango,Whole Year,Attur,576,851.9,801773,3720,5.4
Coffee,Whole Year,Madurai,4628,1465.6,835463,4890,1.3
Sugarcane,Whole Year,Attur,36407,1036.3,2984515,13812,46.04
Rice,Kharif,Rajapalayam,71592,1041.0,3481347,21394,1.93
Pigeonpea,Kharif,Rajapalayam,954,687.1,264041,923,0.42
Cotton,Kharif,Rajapalayam,65910,767.8,5948743,7835,2.17
Pomegranate,Whole Year,Rajapalayam,4917,494.7,858726,3481,4.58
Turmeric,Kharif,Namakkal,2927,1186.7,559080,4590,3.45
Groundnut,Rabi,Theni,5191,1071.6,1294866,2182,1.71
Mango,Whole Year,Palani,9678,1303.7,1104535,3346,6.57
Papaya,Whole Year,Rajapalayam,5227,1029.9,1263070,5619,18.97
Groundnut,Rabi,Dindigul,25504,934.5,1039208,6960,0.91
Chilli,Kharif,Namakkal,4509,591.6,1419482,5403,1.89
Mango,Whole Year,Salem,5180,795.2,651223,2702,3.37
Coconut,Whole Year,Sivakasi,59547,774.2,5510558,10845,6.17
Cotton,Kharif,Kodaikanal,14823,682.6,1317454,2828,1.46
Banana,Whole Year,Rajapalayam,18022,1425.5,1844271,12771,13.99
Rice,Kharif,Karur,74409,1080.1,4934005,21455,1.27
Papaya,Whole Year,Salem,5332,1267.7,1231419,4780,31.6
Sorghum,Kharif,Theni,11240,704.9,1361700,1815,1.14
Groundnut,Rabi,Namakkal,27828,778.0,3557916,9213,2.07
Pomegranate,Whole Year,Virudhunagar,2688,346.0,246558,1017,5.26
Greengram,Kharif,Kodaikanal,12720,669.1,540480,1711,0.35
Greengram,Kharif,Rajapalayam,9436,552.1,378422,2949,0.32
Coffee,Whole Year,Karur,1416,1159.0,374588,1217,1.6
Maize,Kharif,Dindigul,10929,705.0,2031280,5152,1.83
Cotton,Kharif,Namakkal,42496,642.9,2501447,13745,1.16
Banana,Whole Year,Dindigul,24837,792.2,4679732,9122,18.98
Mango,Whole Year,Kodaikanal,786,949.8,1039078,1035,4.95
Chilli,Rabi,Sivakasi,855,881.5,551415,3283,2.68
Turmeric,Kharif,Sivakasi,1980,772.3,1088266,719,3.47
Banana,Whole Year,Sivakasi,6267,1293.5,1167979,3627,13.54
Mango,Whole Year,Theni,34564,1004.8,1067188,11389,3.96
Chickpea,Rabi,Sivakasi,5518,616.5,134075,2144,0.89
Maize,Rabi,Karur,34908,732.4,1601310,9613,2.8
Sorghum,Kharif,Kodaikanal,18574,655.6,1130047,4530,1.51
Maize,Kharif,Theni,22644,1075.7,2598054,8879,1.47
Chickpea,Rabi,Karur,9102,693.9,382768,3267,0.91
Coffee,Whole Year,Dindigul,466,1191.5,524223,806,1.37
Banana,Whole Year,Sivakasi,16659,981.6,2844508,11750,26.44
Chickpea,Rabi,Madurai,14769,888.8,1316228,2202,0.53
Pigeonpea,Kharif,Virudhunagar,2248,969.2,203201,1519,0.78
Coffee,Whole Year,Sivakasi,2568,1325.3,345702,938,0.74
Pomegranate,Whole Year,Rajapalayam,442,714.7,384985,1557,3.37
Turmeric,Kharif,Salem,6924,1004.8,1849745,2095,3.56
Maize,Kharif,Dindigul,5860,777.5,837845,5016,1.44
Turmeric,Kharif,Kodaikanal,14028,1485.9,976406,8565,5.17
Sugarcane,Whole Year,Salem,34752,1169.0,6108750,12926,64.73
Banana,Whole Year,Dindigul,41976,963.0,4107314,22143,15.26
Rice,Kharif,Madurai,23858,1185.7,2225527,7592,0.81
Cotton,Kharif,Virudhunagar,22627,658.9,3877900,4502,1.7
Groundnut,Kharif,Virudhunagar,27201,846.3,1042138,9613,1.7
Pomegranate,Whole Year,Palani,2244,918.7,900551,1597,11.8
Chickpea,Rabi,Dindigul,8398,476.8,464333,1969,0.68
Pigeonpea,Kharif,Madurai,3160,680.0,296757,1296,0.75
Maize,Rabi,Salem,22885,896.0,1762516,2757,1.7
Coconut,Whole Year,Dindigul,22727,1183.8,3121914,6235,7.27
Papaya,Whole Year,Sivakasi,7409,929.3,1544874,7036,29.69
Maize,Rabi,Dindigul,43049,775.4,2228877,3866,2.71
Rice,Rabi,Theni,69295,1244.3,1939484,24000,1.64
Coconut,Whole Year,Salem,16131,723.1,2210928,259,8.88
Blackgram,Rabi,Kodaikanal,4751,884.5,891385,1540,0.72
Groundnut,Kharif,Kodaikanal,32607,992.5,4355838,10829,1.23
Sorghum,Rabi,Attur,17410,539.4,707147,4141,1.05
Chickpea,Rabi,Palani,7890,1065.7,388415,2598,0.72
Groundnut,Rabi,Attur,48079,839.2,3953222,11339,2.1
Mango,Whole Year,Attur,37612,773.5,4579184,9625,2.79
Coffee,Whole Year,Sivakasi,3372,1036.0,1370888,3113,1.17
Papaya,Whole Year,Virudhunagar,199,1134.9,562665,1357,30.65
Sugarcane,Whole Year,Theni,74701,1620.1,8487352,15168,51.67
Mango,Whole Year,Madurai,36882,1053.5,2612628,10978,5.79
Sesame,Kharif,Theni,457,1049.1,265496,100,0.53
Chilli,Rabi,Karur,9749,500.9,2736537,5141,0.77
Rice,Rabi,Madurai,77374,962.9,3802771,5380,2.8
Pigeonpea,Kharif,Karur,4738,660.7,369629,957,0.57
Chickpea,Rabi,Dindigul,5733,782.7,221988,1670,0.82
Millet,Kharif,Madurai,13834,824.2,1285483,1563,1.19
Turmeric,Kharif,Theni,10354,1564.0,1409244,1673,3.28
Sorghum,Kharif,Dindigul,16800,722.9,1675912,4357,0.91
Sesame,Kharif,Namakkal,3274,509.5,499037,1244,0.62
Rice,Rabi,Palani,7941,1376.8,2499911,4176,1.63
Groundnut,Rabi,Attur,31457,625.4,3696609,11146,1.64
Tapioca,Whole Year,Sivakasi,2807,975.2,1482585,1410,22.74
Pigeonpea,Kharif,Attur,10283,997.1,216283,2167,0.66
Maize,Rabi,Kodaikanal,36830,1338.9,886816,2924,2.49
Chilli,Rabi,Salem,7285,913.3,1198062,1557,1.63
Greengram,Kharif,Rajapalayam,677,443.4,149893,619,0.56
Tapioca,Whole Year,Madurai,1079,728.6,837585,2417,21.06
Chickpea,Rabi,Namakkal,1133,576.2,327823,100,0.51
Sesame,Kharif,Salem,4171,380.9,315734,2632,0.64
Pomegranate,Whole Year,Madurai,1476,393.5,723675,2191,8.12
Pomegranate,Whole Year,Attur,1918,650.2,830642,1726,9.02
Papaya,Whole Year,Theni,4388,1093.7,1143464,1893,35.73
Pigeonpea,Kharif,Salem,5248,694.2,387350,592,0.43
Tapioca,Whole Year,Sivakasi,16002,577.5,1403684,4438,27.09
Sesame,Kharif,Namakkal,8283,572.8,247560,836,0.37
Mango,Whole Year,Dindigul,38014,787.8,1880778,5167,6.9
Mango,Whole Year,Palani,19150,995.6,1163030,8803,2.87
Turmeric,Kharif,Dindigul,8682,1267.1,1492921,5811,6.65
Cotton,Kharif,Theni,43886,762.6,2673691,18362,1.28
Papaya,Whole Year,Attur,2228,990.1,906432,4120,35.11
Coffee,Whole Year,Karur,3133,1115.7,501468,1479,0.88
Sesame,Kharif,Salem,5289,452.3,494114,100,0.51
Pomegranate,Whole Year,Kodaikanal,2836,631.2,780776,2686,5.86
Coconut,Whole Year,Virudhunagar,49076,1230.1,2855490,3094,7.45
Sorghum,Kharif,Palani,17802,800.9,1527178,3332,1.47
Blackgram,Rabi,Rajapalayam,9076,874.5,330279,2370,0.33
Banana,Whole Year,Kodaikanal,37963,1356.8,5065246,21113,21.03
Sugarcane,Whole Year,Attur,52052,933.7,9567397,12760,45.08
Sugarcane,Whole Year,Madurai,26049,910.8,5349267,23562,52.42
Tapioca,Whole Year,Virudhunagar,28210,551.1,2861995,4469,23.97
Pigeonpea,Kharif,Attur,3380,664.7,621146,515,0.48
Pomegranate,Whole Year,Theni,534,772.3,322524,2608,9.81
Rice,Rabi,Salem,51359,1374.3,4885813,17767,2.52
Banana,Whole Year,Attur,9084,897.3,3343532,7570,19.31
Greengram,Kharif,Sivakasi,4838,611.1,277704,1270,0.43
Chilli,Rabi,Sivakasi,9062,469.1,2117197,9175,2.05
Cotton,Kharif,Attur,1624,505.7,2253306,7051,1.74
Banana,Whole Year,Theni,7065,1473.7,1898135,3271,30.63
Greengram,Kharif,Namakkal,3041,510.6,468400,775,0.47
Blackgram,Rabi,Attur,9299,643.6,928092,2141,0.8
Pigeonpea,Kharif,Sivakasi,8120,838.9,735658,2115,0.81
Groundnut,Rabi,Madurai,44029,842.5,2682216,3901,1.34
Rice,Kharif,Rajapalayam,50282,841.3,4965129,20335,1.53
Sorghum,Rabi,Virudhunagar,3863,733.0,204777,1302,0.57
Sesame,Kharif,Palani,3317,565.1,150503,100,0.51
Sesame,Kharif,Dindigul,2195,534.1,520553,759,0.59
Millet,Kharif,Theni,25301,1045.9,2160152,1494,1.97
Sesame,Kharif,Madurai,4692,782.4,584026,739,0.54
Chilli,Kharif,Rajapalayam,787,960.6,933438,2252,1.55
Pomegranate,Whole Year,Salem,2840,705.4,1011558,2457,10.57
Sorghum,Rabi,Sivakasi,17795,633.3,387874,1957,0.97
Coffee,Whole Year,Namakkal,650,1348.5,619677,1779,0.64
Mango,Whole Year,Virudhunagar,34738,561.8,1340729,9818,3.88
Pomegranate,Whole Year,Sivakasi,3696,667.2,695397,2631,8.22
Mango,Whole Year,Dindigul,9736,975.4,662285,4795,6.41
Chilli,Kharif,Dindigul,1661,648.2,964241,3668,1.25
Coffee,Whole Year,Rajapalayam,2744,994.5,339914,1336,1.04
Groundnut,Kharif,Dindigul,59134,802.9,3974348,12292,2.23
Rice,Kharif,Theni,5758,1363.3,1388092,7834,1.06
Millet,Kharif,Rajapalayam,11760,523.7,1728643,2864,0.59
Coffee,Whole Year,Dindigul,574,945.0,391906,2383,0.81
Papaya,Whole Year,Salem,4244,1188.8,794736,4022,28.84
Turmeric,Kharif,Rajapalayam,13908,1300.6,2695523,9754,7.03
Chickpea,Rabi,Madurai,2101,840.0,584408,889,1.24
Maize,Kharif,Palani,814,1090.2,1354607,2636,2.39
Groundnut,Kharif,Karur,3037,1010.2,1788801,2708,1.78
Tapioca,Whole Year,Kodaikanal,13330,967.1,1060081,4485,34.51
Maize,Kharif,Dindigul,38419,1064.4,2241847,11856,2.34
Chickpea,Rabi,Palani,17753,759.1,882524,2386,0.41
Coconut,Whole Year,Palani,48554,1507.9,4655414,7438,10.15
Greengram,Kharif,Sivakasi,787,716.5,394258,984,0.76
Pomegranate,Whole Year,Palani,3753,728.2,378274,2694,6.01
Sugarcane,Whole Year,Theni,50871,1652.6,9226361,7721,77.87
Rice,Rabi,Sivakasi,50549,803.3,3622435,21835,1.72
Pigeonpea,Kharif,Theni,10085,1110.6,753990,4221,0.5
Maize,Rabi,Palani,41867,1029.0,1370325,9749,1.38
Groundnut,Rabi,Madurai,46128,546.6,2583510,14462,1.49
Turmeric,Kharif,Theni,8557,1350.4,2229686,7097,7.27
Groundnut,Kharif,Namakkal,53627,558.6,2682743,7336,1.45
Mango,Whole Year,Virudhunagar,25734,912.8,3080878,7754,3.82
Groundnut,Rabi,Kodaikanal,20820,681.1,2887001,3808,2.16
Rice,Rabi,Madurai,27099,872.9,1811093,12954,2.02
Sugarcane,Whole Year,Theni,82810,1394.5,12798549,16935,49.7
Maize,Rabi,Virudhunagar,47354,1083.6,3711792,9889,2.07
Chilli,Kharif,Namakkal,5708,971.6,457550,3778,1.19
Millet,Kharif,Palani,14735,865.4,498087,4828,1.49
Cotton,Kharif,Salem,7919,580.6,3011843,4893,1.24
Coffee,Whole Year,Madurai,4541,1072.1,1337356,4008,0.62
Maize,Kharif,Namakkal,30332,831.8,2756237,7334,2.96
Groundnut,Kharif,Rajapalayam,33615,855.0,3029552,9775,1.96
Turmeric,Kharif,Virudhunagar,1985,1010.1,869782,1769,4.05
