N,P,K,temperature,humidity,ph,rainfall,label
26.47,14.93,52.44,32.12,82.73,5.54,150.03,Coconut
93.02,18.39,25.35,20.97,54.0,5.6,152.42,Coffee
19.77,13.75,33.54,33.01,33.97,6.83,64.74,Pomegranate
63.63,23.65,45.49,21.72,73.24,5.11,269.46,Cardamom
88.5,64.09,43.84,28.04,92.53,5.46,194.71,Rice
60.11,60.13,45.87,32.16,83.44,6.81,165.58,Papaya
105.33,90.34,59.12,27.61,82.9,6.36,141.36,Banana
16.45,23.25,36.59,36.23,53.31,6.51,116.75,Mango
81.1,25.89,38.38,21.61,64.47,6.05,127.81,Coffee
26.91,44.56,37.19,32.76,57.57,5.52,57.02,Sesame
21.49,24.07,50.59,28.61,43.35,7.02,76.22,Pomegranate
33.72,69.73,14.16,25.9,74.17,6.63,138.95,Pigeonpea
32.38,63.27,20.91,34.98,61.27,7.26,114.65,Greengram
52.0,75.09,59.76,30.63,85.18,6.81,173.41,Papaya
26.52,21.75,34.25,29.89,40.91,6.71,40.12,Pomegranate
67.57,23.6,54.74,17.01,74.95,5.17,228.63,Cardamom
20.91,20.93,27.11,26.64,73.81,6.36,146.58,Coconut
17.11,60.2,19.76,30.3,62.77,7.0,44.29,Greengram
120.2,88.92,47.43,28.75,90.08,5.98,157.05,Banana
58.1,74.7,59.33,31.71,90.06,6.93,136.53,Papaya
104.53,41.36,25.29,28.25,69.1,6.45,118.12,Cotton
55.38,58.58,48.35,26.87,81.12,6.46,175.61,Papaya
37.21,48.79,27.74,34.88,67.39,6.3,114.99,Groundnut
56.06,24.05,32.05,30.4,42.1,6.32,79.87,Sorghum
32.85,67.36,22.94,28.26,72.94,6.84,96.67,Blackgram
81.87,57.87,52.97,28.57,74.72,5.58,250.34,Rice
56.17,45.74,44.66,21.61,72.16,6.38,86.42,Maize
111.05,60.85,24.45,34.91,66.61,6.69,80.79,Cotton
24.35,12.29,36.41,27.15,85.95,5.84,164.7,Coconut
113.11,51.37,55.12,29.57,72.67,7.25,78.82,Chilli
51.38,56.74,71.46,27.29,24.26,6.92,62.2,Chickpea
46.79,56.3,85.74,21.91,22.36,7.04,77.09,Chickpea
61.61,36.33,41.1,27.96,67.13,6.07,79.19,Maize
89.1,26.63,37.46,25.22,73.89,6.26,177.45,Coffee
19.87,49.24,20.06,28.23,56.22,6.47,90.54,Groundnut
79.64,52.62,53.31,30.7,77.58,6.53,177.55,Rice
13.79,67.92,19.32,27.54,69.3,6.65,132.33,Pigeonpea
64.27,68.04,197.6,21.38,82.08,6.18,169.46,Turmeric
76.89,33.75,22.86,28.6,52.77,7.4,56.52,Millet
22.67,28.54,34.37,27.86,52.54,7.33,97.53,Mango
19.78,16.3,43.41,35.38,54.15,6.05,106.43,Mango
20.11,22.38,27.4,33.74,55.28,5.7,120.27,Mango
79.65,47.06,44.36,33.43,58.35,7.22,106.64,Tapioca
50.86,67.41,49.71,33.07,81.34,7.13,157.33,Papaya
23.48,17.03,30.23,32.48,53.69,5.88,151.23,Mango
39.06,49.3,39.83,27.33,51.84,6.2,71.26,Sesame
33.84,55.09,28.38,29.36,58.94,5.98,72.74,Groundnut
17.57,24.45,33.04,31.22,61.99,5.92,130.31,Mango
30.21,21.55,37.03,31.76,90.44,5.47,133.0,Coconut
25.23,10.05,43.27,27.88,88.16,5.71,164.57,Coconut
32.75,48.13,17.89,30.69,57.36,6.39,124.43,Groundnut
50.56,44.19,33.69,30.98,65.15,6.9,81.55,Sesame
38.44,64.2,81.73,24.73,17.81,6.21,59.6,Chickpea
89.24,31.99,32.7,28.21,71.14,6.4,62.96,Maize
34.08,57.31,22.03,31.26,76.84,6.53,82.83,Blackgram
101.44,19.26,37.6,22.87,74.03,6.38,175.91,Coffee
26.28,59.37,28.85,27.3,61.22,6.37,65.69,Greengram
65.72,34.83,48.27,22.7,82.34,6.44,250.06,Cardamom
29.82,24.58,36.66,26.44,78.73,6.42,127.63,Coconut
97.26,28.4,27.95,25.4,75.2,6.14,213.51,Coffee
111.57,52.13,50.37,31.45,56.83,6.26,70.53,Chilli
31.94,17.09,47.99,29.68,80.97,6.36,179.25,Coconut
78.9,39.39,30.41,32.47,60.84,5.96,62.83,Millet
35.81,67.7,84.3,23.53,13.31,6.32,80.74,Chickpea
66.15,36.17,47.29,34.8,63.8,5.98,102.92,Tapioca
79.38,29.31,32.75,27.25,58.85,6.57,102.89,Sorghum
35.09,68.42,19.72,25.93,68.23,7.29,78.04,Blackgram
22.65,26.6,34.56,38.46,48.83,7.37,130.2,Mango
50.72,62.34,43.23,26.78,90.35,6.35,171.68,Papaya
106.34,20.36,36.33,19.38,70.42,6.53,147.18,Coffee
27.51,31.61,43.81,30.49,44.93,5.58,121.78,Mango
81.72,48.47,53.2,28.81,76.4,5.58,189.71,Rice
75.17,35.05,41.21,34.28,59.29,5.76,125.55,Tapioca
61.42,67.67,208.38,23.46,70.71,6.2,167.91,Turmeric
71.82,18.55,24.73,30.98,59.28,6.35,92.32,Sorghum
114.87,29.37,27.89,24.59,82.6,6.72,189.28,Sugarcane
36.14,71.58,80.83,17.7,17.48,6.5,75.69,Chickpea
43.1,65.12,191.46,24.68,76.9,5.54,165.78,Turmeric
111.93,51.74,47.49,26.09,60.73,7.39,58.95,Chilli
109.69,35.42,22.92,25.95,76.64,6.7,106.38,Cotton
37.8,53.65,31.82,29.71,51.43,6.8,78.63,Sesame
30.66,54.81,22.27,29.98,60.74,5.9,172.74,Pigeonpea
61.21,42.76,41.35,26.15,85.06,6.2,240.45,Rice
68.68,34.71,30.96,30.28,55.78,6.84,60.36,Sorghum
28.7,14.27,36.68,24.85,75.69,5.49,145.36,Coconut
96.37,74.47,49.37,31.73,82.36,6.19,103.14,Banana
51.34,42.27,25.91,30.86,49.46,7.18,73.0,Millet
76.61,25.2,31.95,33.33,51.93,6.44,93.79,Sorghum
91.82,45.79,49.84,25.58,74.2,6.83,249.97,Rice
36.12,68.77,20.92,36.67,72.64,7.51,77.26,Blackgram
100.12,66.99,49.48,24.39,58.86,7.52,63.08,Chilli
80.39,52.76,47.6,27.81,69.01,7.31,65.55,Maize
83.08,24.18,48.54,18.02,67.07,5.02,252.16,Cardamom
96.81,94.61,56.23,30.93,90.37,5.9,147.45,Banana
60.78,21.16,43.19,21.62,72.8,6.33,262.88,Cardamom
43.5,58.24,27.02,31.12,64.22,6.04,85.61,Groundnut
17.81,62.18,34.3,35.45,74.55,6.06,86.25,Blackgram
44.07,37.86,37.92,27.51,65.41,7.29,82.0,Sesame
73.26,24.1,26.2,35.49,49.27,6.69,73.95,Millet
91.31,53.92,33.23,22.14,76.01,5.66,85.59,Maize
71.06,35.54,34.3,28.93,61.75,7.29,48.65,Millet
29.67,58.44,20.1,32.28,57.54,6.36,58.88,Greengram
121.61,53.32,21.48,34.06,74.58,8.02,51.63,Cotton
102.92,61.34,41.97,28.12,62.05,6.73,59.68,Chilli
25.2,57.43,13.52,33.58,74.07,7.46,49.37,Greengram
76.06,68.5,195.06,24.57,76.92,6.32,204.37,Turmeric
23.05,23.54,39.32,30.53,38.75,7.62,56.39,Pomegranate
51.78,57.79,59.06,34.62,90.36,6.33,144.14,Papaya
71.31,22.71,34.14,32.27,57.85,6.92,57.85,Sorghum
30.1,9.6,45.35,26.18,90.75,5.4,159.41,Coconut
65.18,64.03,46.02,30.24,89.12,7.17,164.28,Papaya
60.99,27.5,49.56,16.96,86.72,5.9,257.29,Cardamom
80.52,45.71,46.22,35.96,54.87,6.81,70.54,Tapioca
61.99,47.54,41.6,29.22,48.29,6.16,89.13,Millet
65.91,61.24,196.84,27.46,76.21,6.8,223.27,Turmeric
37.77,50.99,33.19,31.65,63.99,6.12,71.59,Sesame
57.82,45.05,37.98,30.33,66.74,6.64,58.02,Millet
15.67,9.81,46.97,28.5,75.2,5.76,136.44,Coconut
50.65,69.28,43.81,26.11,89.73,6.75,168.57,Papaya
24.47,64.17,25.45,32.57,67.48,5.77,151.02,Pigeonpea
77.99,26.3,32.33,33.28,50.66,7.32,40.64,Millet
35.88,60.04,28.78,25.67,68.85,7.04,87.51,Blackgram
84.68,52.0,51.06,29.83,79.25,7.1,245.98,Rice
55.57,59.11,82.15,19.77,31.7,6.96,107.4,Chickpea
99.98,30.51,29.3,25.59,69.49,5.44,184.84,Coffee
123.68,37.67,24.51,27.87,70.34,7.74,85.71,Cotton
91.98,19.02,28.61,20.52,57.23,6.07,220.58,Coffee
136.73,60.0,16.95,26.62,66.3,7.09,52.08,Cotton
69.97,24.95,29.3,36.3,53.97,6.49,71.32,Sorghum
88.69,25.44,48.12,18.51,91.59,5.21,258.73,Cardamom
111.44,24.3,27.47,21.06,67.14,6.27,160.19,Coffee
127.39,55.46,29.15,25.75,67.12,7.38,69.41,Cotton
94.44,48.13,35.37,32.78,65.83,6.2,88.7,Maize
26.77,69.02,18.95,34.55,68.26,6.95,69.21,Greengram
95.54,55.95,41.17,29.03,76.66,5.55,238.39,Rice
97.1,93.45,50.27,25.37,90.18,5.93,142.59,Banana
72.96,22.0,29.06,34.25,57.93,5.93,100.29,Sorghum
60.07,45.49,35.01,25.65,86.12,6.92,206.6,Rice
91.83,27.68,41.4,31.62,81.31,7.08,155.87,Sugarcane
85.43,40.6,30.71,30.44,78.38,6.02,172.93,Sugarcane
23.15,10.52,28.25,33.86,76.16,6.14,130.75,Coconut
91.88,30.39,43.18,29.51,82.05,7.29,161.82,Sugarcane
82.09,44.91,37.98,35.05,57.58,6.13,52.94,Millet
29.67,59.28,23.44,33.28,60.96,6.84,144.93,Pigeonpea
120.81,67.13,46.1,34.56,55.9,6.27,67.17,Chilli
12.78,26.57,35.25,26.2,60.39,7.59,100.27,Mango
41.14,66.36,84.81,22.25,18.28,6.29,81.41,Chickpea
25.56,64.04,17.27,26.84,70.84,6.81,146.29,Pigeonpea
97.12,37.64,47.12,27.64,71.44,7.28,204.63,Sugarcane
24.37,52.23,22.49,30.91,72.83,6.92,82.83,Groundnut
86.95,21.25,44.78,22.29,86.15,5.18,182.55,Cardamom
27.72,21.99,34.29,35.44,62.79,5.96,104.09,Mango
77.67,24.93,39.06,29.11,85.4,6.38,154.3,Sugarcane
38.8,70.42,80.65,27.31,23.57,6.57,97.28,Chickpea
120.01,53.42,25.55,25.8,75.84,7.17,97.47,Cotton
57.57,56.71,206.67,21.71,84.75,6.44,221.08,Turmeric
30.02,66.27,30.15,29.48,64.39,7.55,69.51,Blackgram
23.9,60.46,25.68,32.15,63.5,7.12,72.42,Greengram
47.06,44.19,29.0,32.65,64.09,6.12,88.2,Sesame
55.87,35.45,31.55,33.82,48.41,6.79,57.6,Millet
75.38,24.94,32.9,30.54,68.6,6.18,203.06,Sugarcane
76.7,42.89,48.33,28.5,68.86,6.66,58.39,Tapioca
75.23,51.21,45.0,23.22,87.86,6.07,206.92,Rice
45.16,56.07,69.53,21.42,13.48,7.32,66.26,Chickpea
101.06,22.09,32.9,27.26,66.46,5.78,163.2,Coffee
48.06,61.79,198.15,25.3,90.22,5.85,175.88,Turmeric
61.55,42.85,47.5,31.03,50.2,6.43,82.48,Tapioca
81.92,33.54,33.75,33.26,78.64,6.67,206.32,Sugarcane
51.89,54.6,195.88,26.56,82.05,6.73,178.54,Turmeric
69.07,36.73,48.41,27.15,78.56,6.08,162.73,Sugarcane
88.68,39.82,27.85,28.77,88.46,5.94,166.26,Sugarcane
74.94,28.13,49.0,19.93,73.4,5.5,270.29,Cardamom
18.43,65.98,13.68,32.67,64.14,5.9,130.62,Pigeonpea
45.76,35.37,32.64,35.97,67.52,7.12,81.36,Sesame
120.21,83.82,50.82,32.19,88.16,7.05,150.89,Banana
69.36,44.43,37.09,24.32,66.34,5.99,69.14,Maize
76.77,56.21,44.05,30.27,76.57,6.93,219.77,Rice
38.81,52.98,32.18,29.57,63.64,6.43,68.96,Sesame
57.03,66.09,49.52,30.84,85.86,6.4,191.12,Papaya
75.39,80.23,56.76,30.88,80.17,6.07,93.62,Banana
111.94,59.6,23.18,31.15,76.57,8.06,79.95,Cotton
58.22,68.71,56.11,28.38,84.24,6.23,147.05,Papaya
14.73,15.06,39.44,28.3,52.48,7.49,115.69,Mango
63.25,30.32,54.25,24.37,62.41,5.59,139.13,Tapioca
79.11,38.71,28.48,28.4,54.26,7.21,52.59,Millet
84.61,46.2,38.22,21.96,65.51,6.08,105.45,Maize
24.03,15.15,37.24,32.72,83.29,5.37,135.28,Coconut
20.31,49.94,26.36,31.57,69.34,5.61,145.9,Pigeonpea
21.16,40.25,28.02,26.37,62.95,6.99,65.22,Sesame
62.69,30.67,41.8,24.8,78.82,5.24,214.73,Cardamom
126.78,69.02,46.03,35.78,59.42,6.93,76.69,Chilli
124.3,50.98,31.23,29.19,77.32,6.26,66.61,Cotton
65.16,29.89,22.4,32.49,57.31,6.97,56.31,Millet
34.17,62.59,21.5,32.47,61.69,6.84,96.48,Pigeonpea
18.48,66.75,18.36,30.73,64.57,5.9,54.57,Greengram
46.41,61.55,81.7,20.77,19.85,7.12,63.97,Chickpea
26.33,26.21,24.45,35.75,63.36,6.12,116.99,Mango
58.92,73.48,74.59,20.59,21.37,6.18,86.37,Chickpea
53.06,68.87,191.34,23.06,75.07,5.74,182.52,Turmeric
103.92,54.1,53.87,27.9,63.85,7.16,76.74,Chilli
88.85,52.87,48.79,31.26,51.59,5.99,76.95,Tapioca
19.0,50.97,21.81,30.65,72.19,6.07,51.83,Greengram
18.31,57.58,26.9,26.72,57.99,5.78,130.57,Pigeonpea
112.47,53.65,18.52,32.66,76.94,7.14,74.18,Cotton
121.32,19.75,30.75,27.25,71.8,6.35,222.9,Sugarcane
102.5,80.13,52.57,26.46,76.17,6.3,105.95,Banana
73.37,51.83,37.25,28.75,86.93,5.48,243.07,Rice
27.54,12.91,46.54,36.43,36.5,7.02,50.03,Pomegranate
77.7,30.82,45.25,24.62,81.5,6.77,178.57,Sugarcane
93.17,24.17,31.01,26.95,62.65,5.56,184.26,Coffee
31.25,24.54,27.72,36.39,47.21,6.52,145.74,Mango
62.24,34.74,23.56,34.74,47.13,6.82,57.21,Sorghum
78.66,35.13,47.38,25.14,76.01,5.94,180.24,Cardamom
17.72,16.45,36.15,36.27,56.64,6.95,71.94,Mango
27.93,40.13,30.11,27.73,61.02,6.17,71.36,Sesame
70.07,23.28,37.45,34.62,42.34,7.33,98.28,Sorghum
16.7,21.43,40.4,24.21,43.57,7.01,72.12,Pomegranate
67.15,21.15,47.15,24.14,81.26,5.94,250.7,Cardamom
93.94,87.2,46.55,27.5,75.09,6.71,158.0,Banana
62.07,28.35,36.39,31.3,46.1,6.23,76.28,Sorghum
19.45,70.95,23.55,35.25,78.44,6.89,68.87,Blackgram
17.6,43.35,34.77,34.21,60.19,5.69,47.09,Sesame
27.35,50.92,27.03,35.5,53.58,5.74,50.39,Sesame
78.31,57.19,41.57,24.9,64.24,6.38,84.23,Maize
64.37,61.73,199.57,30.13,74.12,5.8,155.75,Turmeric
24.53,50.52,28.25,34.41,71.31,5.86,78.82,Groundnut
65.59,33.48,43.38,18.91,83.55,5.34,257.7,Cardamom
54.29,70.07,205.1,26.65,91.71,6.55,217.98,Turmeric
30.19,11.72,47.41,24.64,38.22,7.03,54.18,Pomegranate
36.23,44.67,28.89,27.65,67.01,5.8,86.81,Sesame
29.61,49.41,17.42,36.86,52.57,7.17,59.04,Greengram
33.11,20.08,48.22,31.5,73.42,6.41,126.69,Coconut
33.52,56.88,21.39,32.38,69.73,5.88,130.33,Pigeonpea
51.55,71.31,52.57,33.15,88.06,5.8,163.86,Papaya
31.55,18.16,39.97,37.14,53.69,5.99,131.19,Mango
137.09,50.07,17.68,31.46,79.72,7.51,58.93,Cotton
29.7,52.0,32.11,34.72,59.51,6.13,64.16,Sesame
17.22,18.22,46.6,30.79,33.43,6.64,75.82,Pomegranate
35.62,55.13,73.42,19.99,14.95,6.31,99.64,Chickpea
82.44,32.69,23.45,31.94,72.9,5.87,204.41,Sugarcane
122.37,53.92,46.57,34.43,64.35,6.34,67.99,Chilli
34.11,53.68,16.22,34.09,70.65,5.59,97.09,Groundnut
28.41,57.97,32.14,31.92,59.34,5.68,109.83,Pigeonpea
65.71,57.85,43.06,31.32,91.46,6.35,129.75,Papaya
45.46,55.49,82.72,18.12,23.09,6.98,81.46,Chickpea
137.2,50.9,17.2,32.73,62.18,6.91,71.87,Cotton
96.26,65.23,55.72,33.06,58.27,6.5,78.59,Chilli
53.96,63.73,200.31,25.65,88.51,6.27,194.99,Turmeric
24.76,63.89,18.89,32.58,63.55,6.16,69.71,Groundnut
18.35,12.18,26.21,26.83,82.42,5.8,98.07,Coconut
45.66,44.53,29.96,34.81,54.59,7.59,70.04,Sesame
61.06,42.83,49.23,29.75,91.0,6.66,222.19,Rice
34.75,12.28,35.87,31.33,81.07,6.02,152.18,Coconut
116.72,50.52,23.87,36.88,61.72,6.9,64.14,Cotton
111.51,61.26,44.91,25.99,71.1,6.67,58.29,Chilli
10.74,13.79,42.76,27.94,63.09,5.73,132.66,Mango
76.51,25.37,22.52,29.53,55.68,5.91,97.25,Sorghum
25.64,64.35,27.12,27.44,63.52,7.14,87.44,Blackgram
66.07,40.56,31.8,29.33,64.93,6.1,93.9,Maize
56.06,73.85,75.56,18.62,12.21,7.6,56.45,Chickpea
99.25,51.2,41.84,28.96,69.25,7.32,76.26,Maize
116.46,69.4,55.45,32.69,83.33,5.94,162.71,Banana
67.07,51.79,193.15,24.75,89.52,6.67,204.86,Turmeric
20.46,9.04,47.0,26.73,36.79,6.46,66.31,Pomegranate
58.63,59.8,200.8,27.81,75.2,6.38,135.39,Turmeric
33.82,72.53,22.75,34.51,72.6,6.71,83.94,Blackgram
55.58,19.16,23.01,28.28,53.48,6.62,63.36,Sorghum
30.95,51.69,13.44,30.3,64.42,6.75,57.36,Greengram
59.17,31.03,50.03,34.09,63.39,6.0,104.24,Tapioca
104.93,79.37,46.17,32.24,75.44,6.18,169.81,Banana
63.07,52.61,207.99,31.53,74.64,6.7,232.32,Turmeric
100.17,57.15,49.78,28.9,64.0,7.12,55.9,Chilli
100.12,50.84,38.22,30.99,70.0,7.36,88.92,Maize
88.68,32.03,48.25,30.73,54.06,6.97,115.91,Tapioca
84.28,48.3,40.72,27.02,73.24,6.54,68.42,Maize
29.78,49.03,12.34,31.74,61.96,7.27,53.92,Greengram
82.36,85.53,51.04,25.66,77.82,6.1,135.51,Banana
43.06,61.95,78.86,26.4,32.05,6.65,77.27,Chickpea
15.34,55.79,15.86,35.05,66.34,7.53,72.42,Greengram
98.43,25.12,32.73,26.19,77.45,6.63,184.2,Sugarcane
79.6,34.2,39.87,27.62,63.08,6.8,102.15,Maize
59.9,38.29,31.31,28.28,60.4,7.24,60.64,Millet
52.14,57.01,197.45,30.17,74.4,5.81,214.65,Turmeric
55.84,66.01,52.28,29.97,82.62,6.23,163.48,Papaya
30.77,21.4,44.37,29.94,86.76,6.43,142.49,Coconut
109.74,31.43,44.42,26.53,88.72,6.78,216.06,Sugarcane
86.92,45.01,40.94,27.84,74.64,5.74,98.36,Maize
80.31,44.98,55.22,26.79,64.41,5.32,73.91,Tapioca
110.94,67.05,54.79,29.72,74.1,7.22,89.29,Chilli
78.19,24.08,25.02,23.91,54.99,5.52,149.92,Coffee
18.1,22.75,34.4,30.41,88.16,6.9,128.3,Coconut
111.54,55.48,41.69,25.64,67.43,7.44,84.04,Chilli
53.06,41.13,19.39,30.58,41.19,6.58,75.14,Sorghum
37.23,54.84,21.07,32.96,72.35,5.66,108.56,Groundnut
69.32,17.17,19.18,27.57,54.95,6.1,68.58,Sorghum
72.01,52.9,53.29,24.56,87.4,5.25,174.6,Rice
86.03,33.51,56.04,19.0,89.16,6.61,278.71,Cardamom
19.97,68.01,18.03,28.86,62.4,6.54,150.81,Pigeonpea
19.59,63.89,16.2,27.63,58.46,5.9,78.3,Greengram
57.74,53.33,203.19,28.51,89.34,6.54,227.9,Turmeric
100.17,63.65,47.4,30.04,67.41,6.78,94.44,Chilli
20.36,53.16,20.71,33.3,64.58,6.85,78.31,Groundnut
93.1,38.48,32.56,29.78,75.77,7.04,216.76,Sugarcane
31.08,67.66,75.7,22.0,16.8,6.53,89.92,Chickpea
37.33,62.04,72.24,23.42,31.63,6.21,87.24,Chickpea
101.22,54.28,19.42,35.07,69.15,7.99,34.97,Cotton
75.88,47.26,45.91,30.07,61.59,6.71,78.22,Maize
83.85,25.65,45.59,23.73,73.66,5.57,221.83,Cardamom
106.16,16.67,50.16,28.94,73.72,6.3,156.84,Sugarcane
14.39,63.76,14.67,28.33,71.65,5.48,165.52,Pigeonpea
29.72,21.61,35.37,25.43,30.89,6.64,58.34,Pomegranate
76.28,33.5,21.26,28.35,51.28,6.69,73.6,Sorghum
127.86,51.18,39.49,26.93,65.21,7.15,101.89,Chilli
40.13,56.58,74.01,18.92,30.02,7.41,92.61,Chickpea
46.01,65.91,52.61,31.88,81.94,6.35,192.12,Papaya
18.03,63.39,27.68,29.2,60.11,6.1,46.47,Greengram
70.23,41.1,46.92,28.05,75.22,7.26,68.57,Maize
34.1,27.41,32.89,30.76,63.58,6.37,102.82,Mango
105.36,81.22,55.23,24.68,87.22,5.98,135.47,Banana
14.76,15.72,44.16,27.63,83.01,6.9,163.82,Coconut
16.78,69.34,18.08,33.72,67.47,6.4,81.85,Blackgram
47.87,53.08,34.62,34.37,64.56,7.51,93.74,Sesame
65.54,70.13,63.26,27.99,81.59,6.37,164.75,Papaya
70.21,29.8,30.76,32.71,48.16,6.9,73.47,Millet
19.74,16.43,31.84,36.81,53.31,6.11,140.1,Mango
14.91,10.99,44.21,27.89,38.23,6.74,44.58,Pomegranate
103.13,27.11,34.67,22.31,59.59,5.74,209.24,Coffee
50.86,55.86,189.53,26.45,89.45,6.81,151.23,Turmeric
27.93,53.79,30.52,27.78,69.43,6.25,88.2,Groundnut
63.2,46.63,52.03,28.63,53.9,5.95,72.9,Tapioca
42.22,59.35,70.98,21.32,16.71,6.99,94.79,Chickpea
103.6,81.16,56.15,30.81,86.29,5.85,132.63,Banana
25.7,53.29,19.36,28.4,70.49,7.21,69.78,Blackgram
33.35,60.3,17.31,30.15,64.75,6.64,96.46,Pigeonpea
52.5,72.98,83.14,20.93,12.37,6.41,58.62,Chickpea
24.65,27.62,42.23,32.27,63.66,7.0,136.87,Mango
23.59,17.09,38.74,28.87,90.53,5.75,98.45,Coconut
21.29,62.42,22.67,32.71,64.15,5.53,97.44,Groundnut
102.9,23.01,26.14,25.0,65.17,5.7,201.01,Coffee
32.12,57.73,31.89,32.91,58.99,7.16,95.39,Blackgram
21.32,20.31,42.74,27.35,34.1,7.04,70.23,Pomegranate
20.67,70.74,22.16,28.2,76.86,6.97,62.94,Blackgram
26.45,49.52,22.6,31.39,63.43,6.37,74.49,Groundnut
25.11,15.07,31.08,29.94,44.85,6.8,136.9,Mango
27.14,26.48,29.26,31.24,53.03,6.97,97.9,Mango
66.32,24.14,49.88,21.92,91.2,5.44,227.08,Cardamom
68.29,41.66,34.32,26.92,70.04,5.54,73.05,Maize
87.95,40.89,47.85,21.36,83.21,6.28,186.32,Rice
65.85,32.89,53.03,21.66,70.66,4.99,191.91,Cardamom
4.77,59.45,17.01,25.74,68.33,6.38,132.48,Pigeonpea
73.17,45.71,52.48,27.41,62.65,6.8,86.11,Tapioca
60.53,61.4,194.97,29.61,77.94,6.65,187.14,Turmeric
83.37,18.29,48.69,17.9,78.67,5.15,234.14,Cardamom
25.48,12.9,42.53,24.77,83.28,6.28,151.33,Coconut
135.32,53.93,24.82,30.79,75.62,6.99,60.91,Cotton
77.52,45.32,28.97,28.02,57.14,5.89,72.24,Maize
81.47,38.12,55.16,34.22,61.33,6.88,115.79,Tapioca
75.42,51.74,37.13,27.89,74.2,7.71,120.83,Maize
15.05,58.61,13.92,27.8,76.47,6.08,83.83,Blackgram
15.68,15.07,33.71,31.12,59.34,5.61,139.12,Mango
66.66,26.86,26.74,30.09,46.76,6.77,78.36,Sorghum
15.8,69.42,23.36,33.16,66.82,7.09,73.66,Greengram
135.85,49.39,17.83,36.82,67.04,6.82,96.48,Cotton
61.74,48.47,54.43,29.31,84.52,6.08,251.5,Rice
33.88,19.23,32.88,33.34,86.67,6.57,126.01,Coconut
84.63,91.21,57.92,33.79,76.09,6.36,137.26,Banana
31.81,58.28,27.14,25.37,73.06,6.74,80.83,Greengram
16.3,57.54,19.21,33.99,71.37,6.88,110.83,Groundnut
45.49,55.62,43.65,26.35,85.92,6.24,184.86,Papaya
132.5,56.51,21.53,26.76,76.88,6.83,67.29,Cotton
41.21,45.52,29.62,26.47,54.05,5.95,70.2,Sesame
24.77,16.69,44.79,34.21,45.69,7.33,78.36,Pomegranate
101.43,47.17,32.46,28.52,79.68,6.11,92.07,Cotton
26.65,13.44,30.69,29.85,91.45,6.09,156.97,Coconut
34.08,62.85,21.42,35.48,63.33,6.61,131.9,Pigeonpea
96.7,14.37,26.39,23.28,78.83,6.43,163.79,Coffee
110.62,20.63,44.42,29.81,74.52,6.28,169.8,Sugarcane
64.83,25.24,24.71,32.49,48.07,7.0,61.33,Sorghum
19.95,12.49,34.8,34.67,53.94,5.7,108.45,Mango
92.6,56.89,42.78,24.48,81.09,5.93,214.06,Rice
55.99,26.34,29.89,30.45,57.39,6.82,64.32,Sorghum
71.88,19.54,26.88,37.01,52.21,7.31,90.11,Sorghum
64.81,28.45,37.26,31.77,47.93,6.83,41.98,Millet
55.25,24.74,27.04,33.2,51.54,7.4,65.89,Millet
107.81,59.54,43.15,33.23,68.18,6.7,98.35,Chilli
134.08,52.97,30.66,32.1,72.89,7.72,101.49,Cotton
116.65,55.66,17.8,32.02,76.16,7.95,100.47,Cotton
34.23,75.72,27.63,28.42,68.48,6.68,80.27,Blackgram
15.66,11.5,48.87,32.82,83.44,5.84,120.14,Coconut
123.29,48.84,50.16,29.09,67.35,5.83,101.32,Chilli
24.72,57.64,23.69,31.24,73.74,7.28,78.84,Greengram
46.55,42.86,33.76,32.29,62.15,7.2,78.82,Sesame
70.65,26.46,21.56,30.94,55.22,6.77,61.71,Millet
86.43,28.9,30.72,23.7,57.99,5.52,210.36,Coffee
81.47,29.03,23.31,31.73,51.97,7.03,49.02,Millet
30.99,31.9,35.99,27.54,60.18,6.67,121.56,Mango
95.37,46.43,38.74,25.88,66.74,5.86,105.93,Maize
29.92,22.78,52.04,27.76,86.74,6.9,111.59,Coconut
17.3,16.08,36.38,28.12,34.39,6.87,74.21,Pomegranate
25.99,16.88,30.59,35.51,53.04,5.69,113.63,Mango
11.86,56.02,20.52,27.64,54.68,6.4,96.8,Groundnut
74.97,32.96,35.17,29.43,58.79,7.64,90.61,Sorghum
22.3,22.5,29.89,26.35,37.0,7.34,58.83,Pomegranate
88.67,28.34,41.43,27.17,52.49,6.21,76.15,Millet
32.03,25.75,41.03,31.57,58.28,7.36,108.47,Mango
68.8,23.32,25.8,26.74,44.43,7.16,67.51,Sorghum
79.21,39.89,32.76,27.86,58.89,7.15,47.59,Millet
51.35,58.93,202.75,29.58,73.17,6.14,196.37,Turmeric
137.74,59.32,18.48,31.75,75.61,7.97,64.88,Cotton
116.81,70.88,43.95,30.06,85.84,6.44,149.06,Banana
99.25,74.34,64.64,31.64,78.24,6.46,131.55,Banana
28.3,55.18,22.59,29.31,74.29,6.64,94.53,Blackgram
65.07,27.88,26.68,33.83,61.2,6.34,54.8,Millet
66.93,20.29,59.19,21.55,78.55,6.0,277.07,Cardamom
90.09,23.99,52.59,19.07,78.05,5.41,238.09,Cardamom
41.02,66.25,58.54,31.44,81.36,6.38,149.52,Papaya
79.3,25.53,40.11,17.74,79.37,4.79,249.92,Cardamom
62.89,33.51,29.48,29.04,39.01,7.13,72.19,Sorghum
87.39,46.47,46.08,27.69,69.9,6.68,76.34,Maize
